Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Daily_Return,Volatility,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,DailySentiment,SentimentCount,Future_Close,Future_Return,Movement
2023-08-08,427.7776429986497,427.7776429986497,422.2080977081967,423.42498779296875,6392488,426.5326782226563,431.9524383544922,431.9021629715102,433.0061831118856,-1.1040201403753827,2.0572049601655014,33.395977738901934,-0.005605531253341622,0.01408579368184857,425.8118896484375,-0.00010992839748613648,425.85870361328125,-0.0024120908655024254,426.8883972167969,-0.008802407340497975,435.078857421875,-0.0019326852591917687,0.0,0,429.3221435546875,0.01392727385423491,Neutral
2023-08-09,423.42500129013064,430.4922137314779,418.32348389285806,429.3221435546875,9758343,426.2612243652344,430.6794067382813,431.50523690737845,432.73328864779904,-1.2280517404205966,1.4001536200482803,26.991731636220663,0.013927273854234867,0.014538139090694568,423.42498779296875,-0.005605531253341622,425.8118896484375,-0.00010992839748613648,425.85870361328125,-0.0024120908655024254,430.6794128417969,-0.010111832613856953,0.0,0,422.8633117675781,-0.015044254958832893,Neutral
2023-08-10,429.5561066722496,429.93052337120747,420.28915768376885,422.8633117675781,13194170,425.4562072753906,429.4344512939453,430.175709962779,432.0021726878238,-1.8264627250447916,0.7548303510296644,25.19227007424969,-0.015044254958832881,0.014853704128567052,429.3221435546875,0.013927273854234867,423.42498779296875,-0.005605531253341622,425.8118896484375,-0.00010992839748613648,426.8883972167969,-0.008802407340497975,0.0,0,420.05517578125,-0.006640765250099503,Neutral
2023-08-11,424.8758589934174,424.8758589934174,416.31095137317203,420.05517578125,11582326,424.2955017089844,427.5904235839844,428.6187047040677,431.11720260010287,-2.4984978960351896,0.10416470161669258,31.744736747854773,-0.00664076525009949,0.014855775616824163,422.8633117675781,-0.015044254958832881,429.3221435546875,0.013927273854234867,423.42498779296875,-0.005605531253341622,425.85870361328125,-0.0024120908655024254,0.0,0,420.4764099121094,0.0010028066671858816,Neutral
2023-08-14,420.0551732422806,422.3953134831847,416.59175425927657,420.4764099121094,7562808,423.22840576171876,426.0459289550781,427.3660439668334,430.3289896696306,-2.9629457027971853,-0.5092573792660838,37.71105886037391,0.0010028066671858848,0.014874011126874637,420.05517578125,-0.00664076525009949,422.8633117675781,-0.015044254958832881,429.3221435546875,0.013927273854234867,425.8118896484375,-0.00010992839748613648,0.0,0,421.45928955078125,0.0023375381246175564,Neutral
2023-08-16,422.1613316766293,428.1520854372992,419.54038583326343,421.45928955078125,14920272,422.83526611328125,424.68397216796876,426.4573125182039,429.6719701652139,-3.2146576470100285,-1.0503374328148734,25.22529733079662,0.0023375381246175664,0.014900298973921085,420.4764099121094,0.0010028066671858848,420.05517578125,-0.00664076525009949,422.8633117675781,-0.015044254958832881,423.42498779296875,-0.005605531253341622,0.0,0,412.8007507324219,-0.020544187856407697,Down
2023-08-17,421.2252558494101,421.2252558494101,411.8646946083121,412.8007507324219,16269569,419.53098754882814,422.89610595703124,424.35630301268696,428.42224196331495,-4.065938950627981,-1.6534577363774952,24.112000235831346,-0.02054418785640766,0.014948234808913094,421.45928955078125,0.0023375381246175664,420.4764099121094,0.0010028066671858848,420.05517578125,-0.00664076525009949,429.3221435546875,0.013927273854234867,0.0,0,413.4091491699219,0.0014738307438165606,Neutral
2023-08-18,412.80071845006495,415.00045588292954,410.460578322797,413.4091491699219,19324262,417.64015502929686,421.5481811523438,422.6721254984073,427.31015422310065,-4.638028724693356,-2.250371934040668,19.336375220457242,0.0014738307438164622,0.0130407571789294,412.8007507324219,-0.02054418785640766,421.45928955078125,0.0023375381246175664,420.4764099121094,0.0010028066671858848,422.8633117675781,-0.015044254958832881,0.0,0,419.1659240722656,0.013925126993204416,Neutral
2023-08-21,413.7368099384537,419.8211747904898,413.1283791664833,419.1659240722656,9572041,417.4623046875,420.8789031982422,422.13270989438325,426.70687450378784,-4.5741646094045905,-2.715130469113453,30.997877739522636,0.013925126993204362,0.013732133991130666,413.4091491699219,0.0014738307438164622,412.8007507324219,-0.02054418785640766,421.45928955078125,0.0023375381246175664,420.05517578125,-0.00664076525009949,0.0,0,425.2034606933594,0.014403691412789696,Neutral
2023-08-22,420.2891664310806,426.04590542508873,418.4170543311649,425.2034606933594,9854945,418.40771484375,420.81806030273435,422.60513309422737,426.5955099346622,-3.9903768404348057,-2.9701797433777237,39.98100211961358,0.014403691412789632,0.011711446303922525,419.1659240722656,0.013925126993204362,413.4091491699219,0.0014738307438164622,412.8007507324219,-0.02054418785640766,420.4764099121094,0.0010028066671858848,0.0,0,421.646484375,-0.008365351289848819,Neutral
